player;round;unité;att/def;couleur;critique;touche;adrenaline;block;miss;statJoueur;statGeneral;statValue
r;5;phase1;att;r;0;0;1;0;0;;;
r;5;phase1;att;b;0;0;0;0;1;;;
r;5;phase1;att;w;0;0;1;0;0;;;
b;5;mortar;def;r;0;0;0;1;0;1;1,5;0,4
b;5;mortar;def;r;0;0;1;0;0;;;
b;5;mortar;def;r;0;0;1;0;0;;;
b;5;snipe;att;b;0;1;0;0;0;2;1,5;0,571428571
b;5;snipe;att;b;0;0;0;0;1;;;
b;5;snipe;att;b;0;1;0;0;0;;;
b;5;garde;att;r;1;0;0;0;0;2;3,5;0,363636364
b;5;garde;att;r;0;0;0;0;1;;;
b;5;garde;att;b;0;0;0;0;1;;;
b;5;garde;att;b;0;0;0;0;1;;;
b;5;garde;att;b;0;1;0;0;0;;;
b;5;garde;att;b;0;0;1;0;0;;;
r;5;supress;def;w;0;0;1;0;0;1;0,666;0,600240096
r;5;supress;def;w;0;0;0;0;1;;;
b;5;shore;att;b;0;0;0;0;1;0;1;0
b;5;shore;att;b;0;0;0;0;1;;;
b;6;snipe;att;b;0;0;0;0;1;0;1;0
b;6;snipe;att;b;0;0;0;0;1;;;
r;6;yoda;att;r;1;0;0;0;0;2;3,5;0,363636364
r;6;yoda;att;r;0;1;0;0;0;;;
r;6;yoda;att;r;0;0;0;0;1;;;
r;6;yoda;att;r;0;0;0;0;1;;;
b;6;garde;att;r;0;0;1;0;0;2;3,5;0,363636364
b;6;garde;att;b;1;0;0;0;0;;;
b;6;garde;att;b;0;1;0;0;0;;;
b;6;garde;att;b;0;0;0;0;1;;;
b;6;garde;att;r;0;0;1;0;0;;;
b;6;garde;att;b;0;0;0;0;1;;;
r;6;yoda;def;r;0;0;1;0;0;1;0,666;0,600240096
r;6;supress;def;w;0;0;1;0;0;1;0,333;0,750187547
b;6;snipe;att;b;0;1;0;0;0;1;1;0,5
b;6;snipe;att;b;0;0;0;0;1;;;
r;6;phase1;att;r;1;0;0;0;0;2;2,25;0,470588235
r;6;phase1;att;r;0;0;0;0;1;;;
r;6;phase1;att;b;0;0;0;0;1;;;
r;6;phase1;att;w;0;1;0;0;0;;;
